No,Kalimat,Deskripsi Topik,Detail Topik,Sentimen,Skor Sentimen
31,tapi Ok,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.97
32,top,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.907
33,cepat aman ga pake ribet,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.993
34,mntap,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.568
35,membantu,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.975
36,sangat membantu,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.939
37,bayar pajak kendaraan lewat online lebih praktis dan cpt prosesnya,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.982
38,proses pengiriman super lambat hari kerja masih pra collecting aja,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.998
39,aplikasinya mudah menghemat waktu tenaga proses lumayan cepat,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.999
40,Aplikasi abal abal sudah satu minggu bauar pajak kendaraan tapi lembar pembayaran pajak dan sticker pengesahan blm juga dikirim,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.994
41,pdhl utk lengiriman sdh dipilih pangiriman express,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Negatif,0.934
42,Jarak kantor samsat ke rumah juga bukannya jauh,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Positif,0.603
43,Layanan BOBROK,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Negatif,0.676
44,kalaj kita terlambat bayar pajak hati saja langsung di denda kena razia ditilang,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Negatif,0.952
45,sdh dibayar pajak secara online malah tidak dikirim sdh satu minggu,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.869
46,Menyesal menggunakan layanan ini,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Negatif,0.631
47,Mending tutup aja aplikasi tak bermutu ini,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.965
48,sangat membantu plat daerah yg sedang merantau,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Positif,0.938
49,keren si kalau kayak gini memudahkan,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.773
50,ok,Topik Tidak Relevan,Tidak Ditemukan,Netral,0.0
51,mudah dan di percaya,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.992
52,mantapp,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.979
53,terimakasih signal semua proses jd lebih mudah tanpa repot antri,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.999
54,ko Lum sampe pengiriman y,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.811
55,mau daftar cuma loading terus,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.995
56,memudahkan pelayanan masyarakat,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.986
57,pelayanan Pajak kendaraan di Klaten satset dikirim sampai Bekasi hanya hari,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Positif,0.772
58,makasih,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.942
59,Mantapp,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.979
60,lumayan membantu ketika mager,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.995
61,proces cepat STNK aman,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Positif,0.99
62,mudah cuma untuk ke pengiriman aja terlalu lama dimaklum karena sedang pemutihan sukses utk semua,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.384
63,sdh hari mau bayar tp kode pembayaran tidak bs di bayar ini bagaimana,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.978
64,prosesnya cepat cuma hari,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.894
65,Samsat Medan Kota hari sejak lunas bayar pajak tahunan D nggak dikirim njirr,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.512
66,padahal tinggal cetak terus kirim lewat pos,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Netral,0.66
67,Apa susahnya Mana udah pilih Pengiriman Pos Express yg lebih mahal,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Negatif,0.995
68,Ngapain bikin pilihan bisa dikirim kalo gk bisa dikirim,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.995
69,thx u.  smoga makin berkembang lagi ya apk nya,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Netral,0.605
70,mantepp gercep enakan online bayar pajak bisa sambil rebahan sehari sampai ke rumah pakai pos xpresss,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.998
71,mudah n untuk ke depan nya pajak taunan juga bisa secara online biar tidak datang ke kantor,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Positif,0.891
72,mantap,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.979
73,susah utk menambahkan kendaraan dan mengesahkan STNK,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.98
74,TOLONG TAMBAHKAN OPSI LAIN JANGAN HANYA KELUARGA KK SJA YG BISA DI PAKE,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Netral,0.952
75,BAGAIMANA KALAU SUDAH PINDAH TANGAN,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.516
76,ITU DI TINGKATKAN LAGI,Permintaan Bantuan dan Saran Peningkatan,"bantu, tingkat, proses, samsat, rantau",Netral,0.898
77,PERMUDAH SUPAYA MASYARAKAT ITU SENANG BISA BAYAR PAJAK TANPA KE KANTOR SAMSAT BILA SEDANG BERADA DI LIAR PULAU SEKALIPUN,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.636
78,Sangat rekomendasi sekali tanpa harus pulang kedaerah asal Sat Set proses cepat tanpa ribet,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.986
79,proses cepat dan mudah,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.987
80,proses sangat mudah,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.858
81,sangat membantu dalam situasi sibuk banyak kerjaan,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Positif,0.96
82,tidak perlu hadir ke samsat,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Positif,0.952
83,sudah bisa perpanjang STNK,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Negatif,0.528
84,sangat mempermudah membayar pajak kalau ada aplikasi ini insyaallah akan bayar pajak,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.868
85,saya Sudah Bayar Seminggu Lebih Tidak dikirim klo memang belum mampu jangan dipaksakan Digital,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.974
86,prosesnya cepat,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.877
87,Kenapa sekarang tidak bisa bayar pajak dari aplikasi ini,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.491
88,tolong jangan di persulit mau bayar loh ini bukan mau gelapin uang pajak,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.994
89,sudah kirim email katanya perbaikan sampai skrng perbaikan server jambi ga siap siap nampaknya,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Netral,0.723
90,gak guna,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Netral,0.591
91,tahun bayar pajak lancar tapi kenapa sekang bayar paja tinggal tf kug susah ya selalu gagal di aplikasknya muter terus lemot .padahal aplikasi ini enak lo memudahkan bagi oranv yg sibuk kerja g usah antri ke samsat,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.538
92,Pendaftaran gagal terus ktp dan foto sudah sesuai dan sudah pernah saya gunakan untuk pendaftaran rekening bank bpjs dll tanpa ada perubahan data dalam kurun waktu tahun terakhir,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.998
93,lebih mudah saat bisa langsung bayar ke pihak ketiga tapi malah dipindah lagi ke aplikasi yang nyatanya belum lulus tes blackbox saat developmentnya,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Negatif,0.687
94,Membantu tdk perlu datang offline namun banyak kendala saat dilakukan proses pembayaran beberapa kali gagal dilakukan proses pembayaran,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Positif,0.641
95,Sangat membantu untuk perpanjangan STNK yg domisili Jakarta Sekitarnya karena ada fitur pengiriman via POS Indonesia,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Positif,0.974
96,Jadi tidak perlu datang dan antri ke SAMSAT,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.991
97,Good job,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.999
98,luar biasa dipermudah untuk byr pajak,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Positif,0.505
99,Sempat Gagal Via ATM dan M banking ada BCA dan BNI namun akhirnya bisa melalui Mbanking Mandiri cepat sekali,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Negatif,0.859
100,Thanks Signal,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.962
101,Alhamdulillah bayar pajak kendaraan aman lancar dan cepat,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,1.0
102,Cukup baik dan mudah,Topik Tidak Relevan,Tidak Ditemukan,Netral,0.618
103,sangat membantu dan mempermudah proses pembayaran pajak kendaraan,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.994
104,saya download ini cuma mau mengetahui jumlah pajak stnk motor saya udah saya coba berkali tidak bisa di klik tulisan nomer kartu keluarga pd hal hp saya normal yg lain bisa di sentuh atw di klik tinggal tulisan nomer kartu keluarga gk berguna milih saya hapus lg apk ny,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Negatif,0.817
105,masih bnyk yg harus di upgrade,Topik Tidak Relevan,Tidak Ditemukan,Netral,0.582
106,error nih aplikasi,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.979
107,gak bs diproses padahal jam kerja apalagi pembayaran gagal terus,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.722
108,mending ke indomart,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.882
109,sangat membantu.mantap,Topik Tidak Relevan,Tidak Ditemukan,Netral,0.528
110,Di Aplikasi Udah Dikirim Dan Diterima Tapi Saya Belum Menerima Paket STNK nya Tuh Gimana yaa Tolong Dong Bantuannya STNK Saya Ko blum nyampe di tangan,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Negatif,0.985
111,perpanjangan pajak online di signal memang bisa tapi tidak memuaskan,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.856
112,masa pengurusan perpanjangan pajak tahunan sampai bulan belum sampai ke rumah,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.782
113,pelayanan sangat buruk,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Negatif,0.924
114,ehh maaf,Fitur dan Layanan Bantuan Aplikasi,"bikin, sistem, antar, chat, cek",Negatif,0.587
115,emang betul kenyataannya,Topik Tidak Relevan,Tidak Ditemukan,Netral,0.555
116,ini kenapa ya kak saya baru mau daftar buat akun terkendala di bagian penerimaan kode OTP ga muncul,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.995
117,enak ga perlu repot keluar buat pengesahan stnk tapi lama banget proses nya,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.788
118,puas pelayanan onlinya,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.997
119,skrg udah g bingung byr pajek,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Netral,0.553
120,dimanapun anda berada bisa lwt aplikasi ini,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Netral,0.732
121,tengkyu signal,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.666
122,ga bisa motor bekas,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Netral,0.604
123,mantap gak perlu pergi ke kantor samsat,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Positif,0.999
124,aplikasi nya ga jelas,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.912
125,sangat membantu dan proses nya sangat cepat,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.991
126,mudah transaksinya setelah pengesahan masih perlu ke samsat atau engga kalau saya baca dari berbagai sumber ngga perlu datang ke samsat,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.896
127,bener ngga ya,Topik Tidak Relevan,Tidak Ditemukan,Netral,0.522
128,ini membantu memudahkan tks,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.998
129,cukup mudah dan membantu,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.991
130,bagus,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.92
131,katanya E tapi ngurus lagi ke samsat hadehhh,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Negatif,0.863
132,ok sip,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.702
133,mantap mempermudah konsumen yg wajib bayar pajak,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.997
134,pengiriman STNK asli kelamaan padahal ongkos kirim nya k sy hari baru sampai jadi mbl nga le pki selama hari jg,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.99
135,mempermudah pembayaran,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.858
136,gak usah antri,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.94
137,lebih praktis,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.996
138,trus tingkatkan kemudahan nya,Permintaan Bantuan dan Saran Peningkatan,"bantu, tingkat, proses, samsat, rantau",Positif,0.725
139,Pertama bayar PKB menggunakan secara online mantep tdk perlu antri lanjutkan pelayanan yang lebih baik cepat dan tdk berbelit belit,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.994
140,terimakasih,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.942
141,Utk pengguna lain perhatikan versi perangkat dan kecepatan internet yg digunakan,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Netral,0.923
142,Update kek dah bulan nyoba bayar kode bayar kgk pernah muncul,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.915
143,sangat mudah dan aman,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.974
144,biarpun aga telat tapi sangat mmbantu sih aplikasi ini ada ya aplikasi SIGNAL membantu masyarakat,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Positif,0.926
145,di prtahankan trus kmbangkan,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.939
146,pengirimannya berapa lama sudah Minggu jaraknya juga ga terlalu jauh kurang lebih jam aja kalo dari posisi ke kantor Samsat kenapa pengirimannya lama dan terus statusnya pra collecting,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.979
147,good,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.983
148,tolong tingkatkan lagi sistem signal nya sering eror,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Netral,0.924
149,klw bagus sistem nya kita bisa byr tepat waktu gx kyk tahun kmrn sampe denda krna kita luar daerah,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Netral,0.49
150,benar di anterin di luar espektasi janji seminggu hari udah di anter bravo signal semoga perpanjang sim juga bisa kaya gini,Fitur dan Layanan Bantuan Aplikasi,"bikin, sistem, antar, chat, cek",Positif,0.962
151,sebenernya dah bagus tapi aku agak gasuka sama kurirnyaaa,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.474
152,membantu bgt sih cuma banyak data yg kosong tdk terisi di STNK gk spt STNK yg lama data nya lengkap mending dateng langsung ke samsat nya pembayaran nya,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Negatif,0.99
153,dipermudah,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.883
154,good sudah sampai,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.972
155,mantap pelayanan cepat pengiriman aman sipp,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,1.0
156,terimakasih sangat membantu,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.997
157,sangat terbantu dengan adanya aplikasi ini,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.842
158,kemudahan pambayaran pajak kendaraan,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.966
159,Pertama kali bayar pajak menggunakan aplikasi sangat mudah cepat dan aman Hanya terkendala di pengiriman saja karena waktu saya bayar pajak itu mendekati hari libur Jum at Sabtu Minggu jadi terlewat dari waktu estimasi sampainya,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.899
160,tp gpp karena bisa di cek secara berkala di aplikasinya,Fitur dan Layanan Bantuan Aplikasi,"bikin, sistem, antar, chat, cek",Negatif,0.798
161,terimakasih Samsat Digital sudah mempermudah masyarakat,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.997
162,saya berharap bayar pajak tahunan harusnya juga bisa melalui aplikasi ini karna bisa meminimalisir antrian offline,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Netral,0.946
163,bapak kapolri tolong di kembangkan utk denda,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Netral,0.899
164,terkadang lupa melihat tanggal jatuh tempo dan jarak tinggal baru dengan plat beda provinsi,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Netral,0.823
165,dengan teramat sangat di kembangkan,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Netral,0.888
166,tidak perlu repot lagi ngantri,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.999
167,best,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.945
168,gabut aja,Topik Tidak Relevan,Tidak Ditemukan,Netral,0.712
169,pas pembayaran tidak bisa,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Netral,0.474
170,bri mandiri BNI udah saya coba tapi tidak bisa juga,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.932
171,tanpa antri cukup tunggu di rumah klak klik klak klik alhamdulillah beres,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.999
172,mau daftarin kendaraan susahnya melebihi datang ke samsat ampun dah,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.995
173,signal bagus,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.913
174,sangat mudah dan cepat,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.973
175,dengan aplikasi signal sangat mudah ga cape antri STNK hari di kirim ke rumah,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.996
176,Verifikasi harus senyum,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Negatif,0.933
177,tapi gak bisa kedetect senyum,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.834
178,udah nyoba senyum model apa aja sama aja,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Negatif,0.549
179,Emang orang garang gak boleh pakai apk ini,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Negatif,0.932
180,mantab jika tidak sempat mengantri bayar pajak bisa pakai signal online cepet dan mudah terima kasih,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,1.0
181,aplikasi nya berjalan baik dan langsung sat set tanpa mempersulit,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.72
182,respon Cs lumayan slow ya,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Negatif,0.977
183,mohon ditingkatkan lagi pak untuk fast respon nya,Permintaan Bantuan dan Saran Peningkatan,"bantu, tingkat, proses, samsat, rantau",Netral,0.968
184,mantab,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.986
185,kualitas buruk bayar dari tanggal mei sampai sekarang juni status masih pracollecting saran saya kalau emang tidak siap menjalankan sistem online melayani masyarakat lebih baik tidak usah deh bikin aplikasi beginian bobrok betul,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.99
186,STNK dikirim ke rumah,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Negatif,0.566
187,Mudah akuntabel,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.968
188,prosesnya lama banget harus nunggu hari mending bayar langsung dah daripada online,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.917
